date,startup,vertical,subvertical,city,investors,round,amount,month,year
2020-01-09,BYJU’S,etech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200.0,1,2020
2020-01-13,Shuttl,transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8.048394,1,2020
2020-01-09,Mamaearth,ecommerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18.35886,1,2020
2020-01-02,https://www.wealthbucket.in/,fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3.0,1,2020
2020-01-02,Fashor,fashion and apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1.8,1,2020
2020-01-13,Pando,logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9.0,1,2020
2020-01-10,Zomato,hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150.0,1,2020
2019-12-12,Ecozen,technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6.0,12,2019
2019-12-06,CarDekho,ecommerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70.0,12,2019
2019-12-03,Dhruva Space,aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50.0,12,2019
2019-12-13,Rivigo,technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20.0,12,2019
2019-12-17,Healthians,b2bfocused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12.0,12,2019
2019-12-16,Licious,ecommerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30.0,12,2019
2019-12-16,InCred,finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,5.9,12,2019
2019-12-14,Trell,video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2.0,12,2019
2019-12-11,Rein Games,gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50.0,12,2019
2019-12-20,Lenskart.com,ecommerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231.0,12,2019
2019-11-13,Freshworks,software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150.0,11,2019
2019-11-14,Misters,health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,0.486,11,2019
2019-11-13,Sunstone Eduversity Pvt. Ltd,education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1.5,11,2019
2019-11-17,Burger Singh,food and beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,11,2019
2019-11-18,Healthians,health and wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12.0,11,2019
2019-11-15,Ninjacart,b2b marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26.0,11,2019
2019-11-20,Aye Finance,fintech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17.411265,11,2019
2019-11-12,SuperGaming,video games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1.3,11,2019
2019-11-20,Clumio,saas,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135.0,11,2019
2019-11-11,eBikeGo,last mile transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,0.3,11,2019
2019-11-19,Digital Mall Asia,ecommerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220.0,11,2019
2019-11-18,Medikabazaar,healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15.8,11,2019
2019-11-15,Vogo Automotive,last mile transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283.0,11,2019
2019-11-25,Paytm,fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000.0,11,2019
2019-10-04,Dunzo,customer service,Delivery Service,Bengaluru,Lightbox,Series D,45.0,10,2019
2019-10-02,Udaan,b2b,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585.0,10,2019
2019-10-21,The Man Company,consumer goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,10,2019
2019-09-05,FPL Technologies,fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4.5,9,2019
2019-09-04,Cashflo,fintech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3.3,9,2019
2019-09-04,Digital F5,"advertising, marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6.0,9,2019
2019-09-04,3rdFlix,saas,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5.0,9,2019
2019-09-04,75F,iot,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18.0,9,2019
2019-09-04,Myelin Foundry,information technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1.0,9,2019
